matrix-mult,parallel-non-tiled,1,cache-misses,0,2000,899
matrix-mult,parallel-paw-tiled,1,cache-misses,0,2000,48
matrix-mult,parallel-paw-single-tiled,1,cache-misses,0,2000,667
vector-mult,parallel-non-tiled,1,cache-misses,2000,2000,393337
vector-mult,parallel-paw-single-tiled,1,cache-misses,0,0,652
vector-mult,parallel-paw-single-tiled,1,cache-misses,2000,2000,392803
jacobi,parallel-non-tiled,1,cache-misses,0,2000,865
jacobi,parallel-paw-tiled,1,cache-misses,0,2000,46
jacobi,parallel-paw-single-tiled,1,cache-misses,0,2000,31
matrix-mult,parallel-non-tiled,2,cache-misses,0,2000,1649
matrix-mult,parallel-paw-tiled,2,cache-misses,0,2000,30
matrix-mult,parallel-paw-single-tiled,2,cache-misses,0,2000,415
vector-mult,parallel-non-tiled,2,cache-misses,2000,2000,196220
vector-mult,parallel-paw-single-tiled,2,cache-misses,0,0,862
vector-mult,parallel-paw-single-tiled,2,cache-misses,2000,2000,397072
jacobi,parallel-non-tiled,2,cache-misses,0,2000,666
jacobi,parallel-paw-tiled,2,cache-misses,0,2000,35
jacobi,parallel-paw-single-tiled,2,cache-misses,0,2000,16
matrix-mult,parallel-non-tiled,3,cache-misses,0,2000,666
matrix-mult,parallel-paw-tiled,3,cache-misses,0,2000,36
matrix-mult,parallel-paw-single-tiled,3,cache-misses,0,2000,618
vector-mult,parallel-non-tiled,3,cache-misses,2000,2000,132889
vector-mult,parallel-paw-single-tiled,3,cache-misses,0,0,853
vector-mult,parallel-paw-single-tiled,3,cache-misses,2000,2000,395441
jacobi,parallel-non-tiled,3,cache-misses,0,2000,593
jacobi,parallel-paw-tiled,3,cache-misses,0,2000,85
jacobi,parallel-paw-single-tiled,3,cache-misses,0,2000,29
matrix-mult,parallel-non-tiled,4,cache-misses,0,2000,655
matrix-mult,parallel-paw-tiled,4,cache-misses,0,2000,32
matrix-mult,parallel-paw-single-tiled,4,cache-misses,0,2000,454
vector-mult,parallel-non-tiled,4,cache-misses,2000,2000,99770
vector-mult,parallel-paw-single-tiled,4,cache-misses,0,0,494
vector-mult,parallel-paw-single-tiled,4,cache-misses,2000,2000,396314
jacobi,parallel-non-tiled,4,cache-misses,0,2000,736
jacobi,parallel-paw-tiled,4,cache-misses,0,2000,58
jacobi,parallel-paw-single-tiled,4,cache-misses,0,2000,64
matrix-mult,parallel-non-tiled,5,cache-misses,0,2000,589
matrix-mult,parallel-paw-tiled,5,cache-misses,0,2000,70
matrix-mult,parallel-paw-single-tiled,5,cache-misses,0,2000,363
vector-mult,parallel-non-tiled,5,cache-misses,2000,2000,80239
vector-mult,parallel-paw-single-tiled,5,cache-misses,0,0,591
vector-mult,parallel-paw-single-tiled,5,cache-misses,2000,2000,396281
jacobi,parallel-non-tiled,5,cache-misses,0,2000,1289
jacobi,parallel-paw-tiled,5,cache-misses,0,2000,64
jacobi,parallel-paw-single-tiled,5,cache-misses,0,2000,22
matrix-mult,parallel-non-tiled,6,cache-misses,0,2000,1548
matrix-mult,parallel-paw-tiled,6,cache-misses,0,2000,48
matrix-mult,parallel-paw-single-tiled,6,cache-misses,0,2000,751
vector-mult,parallel-non-tiled,6,cache-misses,2000,2000,67038
vector-mult,parallel-paw-single-tiled,6,cache-misses,0,0,804
vector-mult,parallel-paw-single-tiled,6,cache-misses,2000,2000,397759
jacobi,parallel-non-tiled,6,cache-misses,0,2000,671
jacobi,parallel-paw-tiled,6,cache-misses,0,2000,48
jacobi,parallel-paw-single-tiled,6,cache-misses,0,2000,26
matrix-mult,parallel-non-tiled,7,cache-misses,0,2000,554
matrix-mult,parallel-paw-tiled,7,cache-misses,0,2000,33
matrix-mult,parallel-paw-single-tiled,7,cache-misses,0,2000,606
vector-mult,parallel-non-tiled,7,cache-misses,2000,2000,58014
vector-mult,parallel-paw-single-tiled,7,cache-misses,0,0,538
vector-mult,parallel-paw-single-tiled,7,cache-misses,2000,2000,394262
jacobi,parallel-non-tiled,7,cache-misses,0,2000,610
jacobi,parallel-paw-tiled,7,cache-misses,0,2000,33
jacobi,parallel-paw-single-tiled,7,cache-misses,0,2000,37
matrix-mult,parallel-non-tiled,8,cache-misses,0,2000,561
matrix-mult,parallel-paw-tiled,8,cache-misses,0,2000,69
matrix-mult,parallel-paw-single-tiled,8,cache-misses,0,2000,290
vector-mult,parallel-non-tiled,8,cache-misses,2000,2000,51440
vector-mult,parallel-paw-single-tiled,8,cache-misses,0,0,589
vector-mult,parallel-paw-single-tiled,8,cache-misses,2000,2000,396380
jacobi,parallel-non-tiled,8,cache-misses,0,2000,1084
jacobi,parallel-paw-tiled,8,cache-misses,0,2000,32
jacobi,parallel-paw-single-tiled,8,cache-misses,0,2000,35
matrix-mult,parallel-non-tiled,1,total-instructions,1,2000,124609
matrix-mult,parallel-paw-tiled,1,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,1,total-instructions,1,2000,124646
vector-mult,parallel-non-tiled,1,total-instructions,2000,2000,140018526
vector-mult,parallel-paw-single-tiled,1,total-instructions,1,1,2562
vector-mult,parallel-paw-single-tiled,1,total-instructions,2000,2000,176110838
jacobi,parallel-non-tiled,1,total-instructions,1,2000,2508
jacobi,parallel-paw-tiled,1,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,1,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,2,total-instructions,1,2000,132437
matrix-mult,parallel-paw-tiled,2,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,2,total-instructions,1,2000,135863
vector-mult,parallel-non-tiled,2,total-instructions,2000,2000,70022124
vector-mult,parallel-paw-single-tiled,2,total-instructions,1,1,8285
vector-mult,parallel-paw-single-tiled,2,total-instructions,2000,2000,176119596
jacobi,parallel-non-tiled,2,total-instructions,1,2000,11903
jacobi,parallel-paw-tiled,2,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,2,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,3,total-instructions,1,2000,135379
matrix-mult,parallel-paw-tiled,3,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,3,total-instructions,1,2000,135353
vector-mult,parallel-non-tiled,3,total-instructions,2000,2000,46707233
vector-mult,parallel-paw-single-tiled,3,total-instructions,1,1,13490
vector-mult,parallel-paw-single-tiled,3,total-instructions,2000,2000,176131972
jacobi,parallel-non-tiled,3,total-instructions,1,2000,12496
jacobi,parallel-paw-tiled,3,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,3,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,4,total-instructions,1,2000,133177
matrix-mult,parallel-paw-tiled,4,total-instructions,1,2000,118236
matrix-mult,parallel-paw-single-tiled,4,total-instructions,1,2000,135643
vector-mult,parallel-non-tiled,4,total-instructions,2000,2000,35036938
vector-mult,parallel-paw-single-tiled,4,total-instructions,1,1,11064
vector-mult,parallel-paw-single-tiled,4,total-instructions,2000,2000,176121511
jacobi,parallel-non-tiled,4,total-instructions,1,2000,10266
jacobi,parallel-paw-tiled,4,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,4,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,5,total-instructions,1,2000,134133
matrix-mult,parallel-paw-tiled,5,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,5,total-instructions,1,2000,135731
vector-mult,parallel-non-tiled,5,total-instructions,2000,2000,28301581
vector-mult,parallel-paw-single-tiled,5,total-instructions,1,1,11278
vector-mult,parallel-paw-single-tiled,5,total-instructions,2000,2000,176123920
jacobi,parallel-non-tiled,5,total-instructions,1,2000,11418
jacobi,parallel-paw-tiled,5,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,5,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,6,total-instructions,1,2000,134458
matrix-mult,parallel-paw-tiled,6,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,6,total-instructions,1,2000,134670
vector-mult,parallel-non-tiled,6,total-instructions,2000,2000,23421249
vector-mult,parallel-paw-single-tiled,6,total-instructions,1,1,12437
vector-mult,parallel-paw-single-tiled,6,total-instructions,2000,2000,176128362
jacobi,parallel-non-tiled,6,total-instructions,1,2000,12247
jacobi,parallel-paw-tiled,6,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,6,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,7,total-instructions,1,2000,135596
matrix-mult,parallel-paw-tiled,7,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,7,total-instructions,1,2000,179103
vector-mult,parallel-non-tiled,7,total-instructions,2000,2000,20057772
vector-mult,parallel-paw-single-tiled,7,total-instructions,1,1,13673
vector-mult,parallel-paw-single-tiled,7,total-instructions,2000,2000,176128835
jacobi,parallel-non-tiled,7,total-instructions,1,2000,13490
jacobi,parallel-paw-tiled,7,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,7,total-instructions,1,2000,231
matrix-mult,parallel-non-tiled,8,total-instructions,1,2000,1065228
matrix-mult,parallel-paw-tiled,8,total-instructions,1,2000,118234
matrix-mult,parallel-paw-single-tiled,8,total-instructions,1,2000,199227
vector-mult,parallel-non-tiled,8,total-instructions,2000,2000,19643367
vector-mult,parallel-paw-single-tiled,8,total-instructions,1,1,15050
vector-mult,parallel-paw-single-tiled,8,total-instructions,2000,2000,177648818
jacobi,parallel-non-tiled,8,total-instructions,1,2000,14952
jacobi,parallel-paw-tiled,8,total-instructions,1,2000,231
jacobi,parallel-paw-single-tiled,8,total-instructions,1,2000,231
