matrix-mult,parallel-non-tiled,1,speed-up,1673,1673,0,29.868233
matrix-mult,parallel-non-tiled,1,speed-up,1673,1673,0,27.354915
matrix-mult,parallel-paw-tiled,1,speed-up,1673,1673,2936012,38.031618
vector-mult,parallel-non-tiled,1,speed-up,2500,3353,0,0.033741
matrix-mult,parallel-paw-tiled,1,speed-up,1673,1673,2936012,36.959828
vector-mult,parallel-non-tiled,1,speed-up,2500,3353,0,0.033780
matrix-mult,parallel-paw-single-tiled,1,speed-up,1673,1673,2936012,33.178601
vector-mult,parallel-paw-tiled,1,speed-up,2500,3353,2936012,0.037933
vector-mult,parallel-paw-single-tiled,1,speed-up,2500,3353,2936012,0.039077
jacobi,parallel-paw-tiled,1,speed-up,2897,2897,2936012,0.124008
jacobi,parallel-non-tiled,1,speed-up,2897,2897,0,0.143406
jacobi,parallel-paw-single-tiled,1,speed-up,2897,2897,2936012,0.146807
matrix-mult,parallel-paw-single-tiled,1,speed-up,1673,1673,2936012,33.611540
vector-mult,parallel-paw-tiled,1,speed-up,2500,3353,2936012,0.037953
vector-mult,parallel-paw-single-tiled,1,speed-up,2500,3353,2936012,0.039120
jacobi,parallel-non-tiled,1,speed-up,2897,2897,0,0.125207
jacobi,parallel-paw-tiled,1,speed-up,2897,2897,2936012,0.148723
jacobi,parallel-paw-single-tiled,1,speed-up,2897,2897,2936012,0.132714
matrix-mult,parallel-non-tiled,2,speed-up,1673,1673,0,14.919704
matrix-mult,parallel-non-tiled,2,speed-up,1673,1673,0,17.625243
matrix-mult,parallel-paw-tiled,2,speed-up,1673,1673,1468006,38.993645
vector-mult,parallel-non-tiled,2,speed-up,2500,3353,0,0.021252
matrix-mult,parallel-paw-tiled,2,speed-up,1673,1673,1468006,38.385764
vector-mult,parallel-non-tiled,2,speed-up,2500,3353,0,0.022136
matrix-mult,parallel-paw-single-tiled,2,speed-up,1673,1673,1468006,27.431379
vector-mult,parallel-paw-single-tiled,2,speed-up,2500,3353,1468006,0.028414
vector-mult,parallel-paw-tiled,2,speed-up,2500,3353,1468006,0.038197
jacobi,parallel-non-tiled,2,speed-up,2897,2897,0,0.067422
jacobi,parallel-paw-tiled,2,speed-up,2897,2897,1468006,0.145525
jacobi,parallel-paw-single-tiled,2,speed-up,2897,2897,1468006,0.132267
matrix-mult,parallel-paw-single-tiled,2,speed-up,1673,1673,1468006,33.355573
vector-mult,parallel-paw-single-tiled,2,speed-up,2500,3353,1468006,0.021224
vector-mult,parallel-paw-tiled,2,speed-up,2500,3353,1468006,0.038488
jacobi,parallel-non-tiled,2,speed-up,2897,2897,0,0.072237
jacobi,parallel-paw-tiled,2,speed-up,2897,2897,1468006,0.126267
jacobi,parallel-paw-single-tiled,2,speed-up,2897,2897,1468006,0.146705
matrix-mult,parallel-non-tiled,3,speed-up,1673,1673,0,11.001506
matrix-mult,parallel-non-tiled,3,speed-up,1673,1673,0,12.124226
matrix-mult,parallel-paw-tiled,3,speed-up,1673,1673,978670,37.883001
vector-mult,parallel-non-tiled,3,speed-up,2500,3353,0,0.020572
matrix-mult,parallel-paw-tiled,3,speed-up,1673,1673,978670,39.084612
vector-mult,parallel-non-tiled,3,speed-up,2500,3353,0,0.017606
matrix-mult,parallel-paw-single-tiled,3,speed-up,1673,1673,978670,31.627965
vector-mult,parallel-paw-single-tiled,3,speed-up,2500,3353,978670,0.021972
vector-mult,parallel-paw-tiled,3,speed-up,2500,3353,978670,0.038096
jacobi,parallel-non-tiled,3,speed-up,2897,2897,0,0.047159
jacobi,parallel-paw-tiled,3,speed-up,2897,2897,978670,0.148391
jacobi,parallel-paw-single-tiled,3,speed-up,2897,2897,978670,0.130556
matrix-mult,parallel-paw-single-tiled,3,speed-up,1673,1673,978670,29.227466
vector-mult,parallel-paw-single-tiled,3,speed-up,2500,3353,978670,0.019293
vector-mult,parallel-paw-tiled,3,speed-up,2500,3353,978670,0.038047
jacobi,parallel-non-tiled,3,speed-up,2897,2897,0,0.048852
jacobi,parallel-paw-tiled,3,speed-up,2897,2897,978670,0.127552
jacobi,parallel-paw-single-tiled,3,speed-up,2897,2897,978670,0.148336
matrix-mult,parallel-non-tiled,4,speed-up,1673,1673,0,8.042403
matrix-mult,parallel-non-tiled,4,speed-up,1673,1673,0,8.825762
matrix-mult,parallel-paw-tiled,4,speed-up,1673,1673,734003,39.027413
vector-mult,parallel-non-tiled,4,speed-up,2500,3353,0,0.010997
matrix-mult,parallel-paw-tiled,4,speed-up,1673,1673,734003,36.524237
vector-mult,parallel-non-tiled,4,speed-up,2500,3353,0,0.012470
matrix-mult,parallel-paw-single-tiled,4,speed-up,1673,1673,734003,31.760291
vector-mult,parallel-paw-single-tiled,4,speed-up,2500,3353,734003,0.015171
